"SubNr","BlockNr","TrialNr"
1,1,2
1,1,3
1,2,6
1,2,8
1,3,1
1,3,5
1,3,6
1,3,8
2,1,1
2,1,3
2,2,3
2,2,7
2,3,1
2,3,3
2,3,6
3,1,1
3,2,1
3,2,5
3,2,7
3,2,8
3,3,2
3,3,7
3,4,1
3,4,2
3,4,3
3,4,4
3,4,6
3,4,7
4,4,4
5,1,2
5,2,3
5,2,4
5,2,6
5,2,7
5,2,8
5,4,2
5,4,3
5,4,5
5,4,8
6,3,1
6,3,4
7,1,1
7,1,3
7,1,6
7,2,3
7,2,4
7,3,2
7,3,3
7,4,3
7,4,4
7,4,8
9,4,3
9,4,5
11,1,1
11,1,2
11,2,6
11,2,7
11,3,2
11,3,3
11,3,4
11,3,7
11,3,8
11,4,4
11,4,5
11,4,7
11,4,8
13,2,2
13,3,3
14,1,1
14,1,2
14,1,3
14,1,4
14,1,5
14,1,6
14,1,7
14,1,8
15,1,1
15,1,8
15,3,3
15,3,6
15,4,3
16,2,4
18,1,1
18,1,8
18,3,1
19,2,6
19,4,3
19,4,4
20,4,5
20,4,7
20,4,8
21,1,2
21,4,6
21,4,7
22,1,5
22,2,4
22,3,1
22,3,7
23,2,8
23,3,5
24,1,2
24,1,4
24,1,6
24,3,2
24,3,3
24,3,6
24,3,7
27,1,2
27,1,6
27,1,8
27,2,6
27,2,8
27,3,1
27,3,2
27,3,3
27,3,5
27,3,6
27,3,7
27,3,8
27,4,1
27,4,2
27,4,3
27,4,5
27,4,7
27,4,8
28,1,1
28,1,5
28,1,6
28,2,4
28,4,3
29,2,6
29,4,1
29,4,7
31,1,6
31,2,3
31,2,4
31,4,5
32,2,3
33,1,1
33,1,3
33,1,7
34,1,8
34,3,5
34,3,7
35,2,5
35,2,8
35,3,1
35,4,4
36,1,1
36,3,4
3,1,2
3,1,3
3,1,4
3,1,5
3,1,6
3,1,7
3,1,8
13,2,6
